List_A_Item	Best_Match_from_List_B
chicken patty, frozen, cooked	morningstar farms chik patties, frozen, unprepared
crackers, cheese, whole grain	crackers, whole-wheat, low salt
fast foods, chicken tenders	none
lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4 fat, choice, cooked	lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4 fat, choice, cooked
turkey breast, sliced, prepackaged	turkey, breast, boiled/smoked, sliced
fast foods, fried chicken, drumstick, meat and skin with breading	chicken, flesh and skin, deepfried
turkey, ground, cooked	pork, ground, 96% lean / 4% fat, cooked, crumbles
beef, round, eye of round roast, boneless, separable lean only, trimmed to 0 fat, all grades, raw	none
beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, all grades, raw	none
restaurant, chinese, chicken and vegetables	none
jams, preserves, marmalade, reduced sugar	jams, preserves, marmalade, reduced sugar
rice crackers	rice cakes
fast food, biscuit	fast foods, biscuit, with egg and sausage
sausage, pork, chorizo, link or ground, cooked, pan-fried	pork sausage, fresh, cooked
tortillas, ready-to-bake or -fry, whole wheat	tortillas, ready-to-bake or -fry, whole wheat
cereals ready-to-eat, nature's path, organic flax plus flakes	cereals ready-to-eat, nature's path, organic flax plus flakes
pizza rolls, frozen, unprepared	none
bacon, turkey, microwaved	turkey
cookies, sugar wafer, chocolate-covered	cookies, sugar wafer, chocolate-covered
restaurant, family style, coleslaw	kentucky fried chicken, coleslaw
sauce, enchilada, red, mild, ready to serve	campbell soup company, pace, enchilada sauce
cookie, chocolate, with icing or coating	cookies, chocolate sandwich, with creme filling, regular, chocolate-coated
rolls, dinner, sweet	none
soup, beef barley, ready to serve	campbell's chunky soups, hearty beef barley soup
restaurant, chinese, orange chicken	none
jams, preserves, marmalades, sweetened with fruit juice	jams and preserves
beverages, chocolate powder, no sugar added	none
snacks, potato chips, lightly salted	snacks, potato chips, lightly salted
lamb, ground, cooked, broiled	lamb, leg, average values, raw
cookies, coconut macaroon	cookies, coconut macaroons, prepared from recipe
jellies, no sugar (with sodium saccharin), any flavors	none
ice cream bar, stick or nugget, with crunch coating	frozen novelties, ice cream type, chocolate or caramel covered, with nuts
turkey ham, sliced, extra lean, prepackaged or deli-sliced	turkey ham, sliced, extra lean, prepackaged or deli-sliced
peppers, hot pickled, canned	sauce, ready-to-serve, pepper or hot
beef, round, top round roast, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, roasted	none
salad dressing, mayonnaise-type, light	salad dressing, mayonnaise, light
frankfurter, meat and poultry, unheated	frankfurter, meat and poultry, unheated
bread, cinnamon	cinnamon buns, frosted (includes honey buns)
canadian bacon, cooked, pan-fried	pork, cured, canadian-style bacon, grilled
cookies, brownies, commercially prepared, reduced fat, with added fiber	none
mayonnaise, reduced fat, with olive oil	mayonnaise, low fat
kielbasa, fully cooked, grilled	sausage
beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0 fat, all grades, raw	beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8 fat, all grades, raw
bread, french or vienna, whole wheat	bread, whole meal, commercially prepared, with added soy flour or soy protein
game meat, bison, separable lean only, cooked, roasted	bison
fast foods, breakfast burrito, with egg, cheese, and sausage	fast foods, burrito, with beans
fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato	none
macaroni or noodles with cheese, microwaveable, unprepared	macaroni and cheese dinner with dry sauce mix, boxed, prepared with 2% milk and 60% vegetable oil spread
sweet potatoes, french fried, frozen as packaged, salt added in processing	potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated
turkey, all classes, light meat, cooked, roasted	turkey, breast, boiled/smoked, sliced
chicken, broilers or fryers, wing, meat and skin, cooked, roasted	chicken, broilers or fryers, wing, meat and skin, cooked, roasted
chicken, broilers or fryers, thigh, meat and skin, cooked, roasted	chicken, broilers or fryers, thigh, meat and skin, cooked, roasted
chicken, broiler, rotisserie, bbq, thigh, meat and skin	chicken, flesh and skin, grilled
chicken, broiler, rotisserie, bbq, breast, meat and skin	chicken, flesh and skin, grilled
beverages, abbott, eas whey protein powder	none
chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted	chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted
chicken, broilers or fryers, thigh, meat only, cooked, roasted	chicken, broilers or fryers, thigh, meat only, cooked, roasted
beverages, protein powder soy based	none
chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted	chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted
chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised	chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised
syrup, nestle, chocolate	none
chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised	chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised
chicken, broilers or fryers, drumstick, meat only, cooked, braised	chicken, broilers or fryers, drumstick, meat only, cooked, braised
beverages, tropical punch, ready-to-drink	fruit juice drink, greater than 3% fruit juice, high vitamin c and added thiamin
chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised	chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised
beverages, aloe vera juice drink, fortified with vitamin c	none
chicken, broilers or fryers, thigh, meat and skin, raw	chicken, flesh and skin, grilled
beverages, whey protein powder isolate	none
fast foods, fried chicken, thigh, meat and skin and breading	none
bologna, meat and poultry	bologna, chicken, pork
fast foods, submarine sandwich, sweet onion chicken teriyaki on white bread with lettuce, tomato and sweet onion sauce	none
crackers, water biscuits	crackers, saltines (includes oyster, soda, soup)
lamb, rib, separable lean only, trimmed to 1/4 fat, choice, cooked, broiled	lamb, rib, separable lean only, trimmed to 1/4 fat, choice, cooked, broiled
beverages, rice milk, unsweetened	rice drink, unsweetened, with added calcium, vitamins a and d
beverages, tea, instant, decaffeinated, unsweetened	tea, instant, unsweetened, powder, decaffeinated
chicken, broilers or fryers, skin only, raw	chicken, broilers or fryers, skin only, raw
beverages, tea, instant, lemon, diet	tea, instant, unsweetened, powder, prepared
pasta, whole-wheat, cooked (includes foods for usda's food distribution program)	pasta, whole-wheat, cooked (includes foods for usda's food distribution program)
beverages, tea, instant, lemon, sweetened, powder	tea, instant, sweetened with sodium saccharin, lemon-flavored, powder
beverages, tea, instant, lemon, unsweetened	tea, instant, unsweetened, lemon-flavored, powder
mango, dried, sweetened	raisins, seeded
turkey, whole, neck, meat only, cooked, simmered	turkey, flesh only, raw
bread, roll, mexican, bollilo	none
dip, bean, original flavor	beans, navy, mature seeds, cooked, boiled, with salt
beverages, carbonated, cola, regular	carbonated beverage, cola, contains caffeine
beverages, coffee, instant, mocha, sweetened	coffee, instant, with sugar, mocha-flavor, powder
roast beef, deli style, prepackaged, sliced	beef, round, bottom round, roast, separable lean only, trimmed to 0 fat, choice, cooked, roasted
sausage, breakfast sausage, beef, pre-cooked, unprepared	pork sausage, fresh, raw
milk, chocolate, fat free, with added vitamin a and vitamin d	milk, chocolate, fluid, commercial, whole, with added vitamin a and vitamin d
beverages, energy drink, monster, fortified with vitamins c, b2, b3, b6, b12	energy drink, monster
beverages, energy drink, red bull	energy drink, red bull, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12
dip, salsa con queso, cheese and salsa- medium	none
schiff,tiger's milk bar	none
fast foods, fried chicken, breast, meat only, skin and breading removed	chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised
fast foods, chicken, breaded and fried, boneless pieces, plain	chicken, breaded and fried, boneless pieces, plain
beverages, yellow green colored citrus soft drink with caffeine	none
sausage, egg and cheese breakfast biscuit	fast foods, biscuit, with egg and sausage
taquitos, frozen, beef and cheese, oven-heated	none
reduced sodium: chicken breast, deli, rotisserie seasoned, sliced, prepackaged	none
beverages, coconut water, ready-to-drink, unsweetened	coconut water, ready-to-drink, unsweetened
fast foods, fried chicken, drumstick, meat only, skin and breading removed	chicken, drumstick, flesh and skin, raw
reduced sodium: ham, sliced, pre-packaged, deli meat (96%fat free, water added)	ham, sliced, prepackaged (96% fat free, water added)
fast foods, breadstick, soft, prepared with garlic and parmesan cheese	none
cereals ready-to-eat, nature's path, organic flax plus, pumpkin granola	nature's path, organic flax plus, pumpkin granola
cookie, butter or sugar, with chocolate icing or filling	cookies, chocolate sandwich, with creme filling, special dietary
sauce, peanut, made from peanut butter, water, soy sauce	peanut butter with omega-3, creamy
beverages, protein powder whey based	whey
beverages, the coca-cola company, nos energy drink, original, grape, loaded cherry, charged citrus, fortified with vitamins b6 and b12	none
beverages, slimfast, meal replacement,  high protein shake, ready-to-drink, 3-2-1 plan	none
alcoholic beverage, malt beer, hard lemonade	none
candies, m&m mars pretzel chocolate candies	snacks, m&m mars, combos snacks cheddar cheese pretzel
bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca	bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca
yellow rice with seasoning, dry packet mix, unprepared	rice, white, long-grain, precooked or instant, enriched, dry
cookie, with peanut butter filling, chocolate-coated	cookies, peanut butter sandwich, regular
lamb, loin, separable lean only, trimmed to 1/4 fat, choice, cooked, broiled	lamb, loin, separable lean only, trimmed to 1/4 fat, choice, cooked, broiled
beverages, abbott, ensure, nutritional shake, ready-to-drink	ensure fiber with fos, liquid
lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4 fat, choice, cooked, roasted	lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4 fat, choice, cooked, roasted
lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4 fat, choice, cooked, roasted	lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4 fat, choice, cooked, roasted
candies, toblerone, milk chocolate with honey and almond nougat	none
syrup, fruit flavored	fruit punch drink, without added nutrients, canned
fast foods, fried chicken, thigh, meat only, skin and breading removed	none
sweetener, herbal extract powder from stevia leaf	none
potsticker or wonton, pork and vegetable, frozen, unprepared	none
beverages, cytosport, muscle milk, ready-to-drink	protein supplement, milk based, muscle milk, powder
