sample_id,simple_name
871,Chicken breast tender
872,Chicken strips
875,Chicken breast
876,Beef round tip steak
877,Shrimp
878,Brown egg yolk
879,Brown egg white
882,Whole brown egg
884,Righteous rye bread
886,Purple cabbage
892,Cocoa powder
897,canned pumpkin
898,coconut milk
899,roasted almonds
900,snack bar (blueberry)
902,cooked oat bran
903,brewed coffee
904,half and half
905,alfalfa
906,cream cheese
907,chives
908,arugula
909,ground turkey
910,ground pork
1094,plant based fish fillet
1095,beyond chicken tenders
1096,plant based bacon strip
1097,beyond sausage
1098,plant based hot dog
1099,Black-eyed Peas
1100,Green split peas
1101,Navy beans
1102,Great Northern Beans
1103,Lima Beans
1104,Bean Sprouts
