input_desc,target_desc,index,match_fuzzy,score_fuzzy,match_tfidf,score_tfidf,match_embed,score_embed,match_o3
"snacks, tortilla chips, low fat, unsalted","snacks, tortilla chips, low fat, unsalted",30,"snacks, tortilla chips, low fat, unsalted",100.0,"snacks, tortilla chips, low fat, unsalted",1.0000000000000002,"snacks, tortilla chips, low fat, unsalted",0.99999946,"snacks, tortilla chips, low fat, unsalted"
"rolls, hamburger or hotdog, plain","rolls, hamburger or hotdog, plain",31,"rolls, hamburger or hotdog, plain",100.0,"rolls, hamburger or hotdog, plain",1.0,"rolls, hamburger or hotdog, plain",1.0000001,"rolls, hamburger or hotdog, plain"
"beef, ground, patties, frozen, cooked, broiled","beef, ground, patties, frozen, cooked, broiled",32,"beef, ground, patties, frozen, cooked, broiled",100.0,"beef, ground, patties, frozen, cooked, broiled",1.0000000000000002,"beef, ground, patties, frozen, cooked, broiled",0.99999964,"beef, ground, patties, frozen, cooked, broiled"
"snacks, potato sticks","snacks, potato sticks",33,"snacks, potato sticks",100.0,"snacks, potato sticks",1.0000000000000002,"snacks, potato sticks",1.0,"snacks, potato sticks"
"beverages, tea, black, brewed, prepared with tap water","tea, black, brewed, prepared with tap water",34,"tea, black, brewed, prepared with tap water",87.67123287671232,"tea, black, brewed, prepared with tap water",0.9466248856463796,"tea, black, brewed, prepared with tap water",0.97157246,"beverages, tea, hibiscus, brewed"
"snacks, potato chips, plain, salted","snacks, potato chips, plain, salted",35,"snacks, potato chips, plain, salted",100.0,"snacks, potato chips, plain, salted",1.0000000000000002,"snacks, potato chips, plain, salted",1.0000004,"snacks, potato chips, plain, salted"
"salad dressing, mayonnaise, regular","salad dressing, mayonnaise, soybean oil, with salt",36,"salad dressing, mayonnaise type, regular, with salt",85.71428571428572,"salad dressing, mayonnaise",0.8990281977724416,"salad dressing, mayonnaise",0.9746924,"salad dressing, mayonnaise, light"
"spices, parsley, dried","spices, parsley, dried",37,"spices, parsley, dried",100.0,"spices, parsley, dried",1.0000000000000002,"spices, parsley, dried",1.0000002,"spices, parsley, dried"
"egg, whole, raw, fresh","egg, whole, raw, fresh",38,"egg, whole, raw, fresh",100.0,"egg, whole, raw, fresh",1.0000000000000002,"egg, whole, raw, fresh",1.0000007,"egg, whole, raw, fresh"
"beans, snap, green, frozen, cooked, boiled, drained without salt","beans, snap, green, frozen, cooked, boiled, drained without salt",39,"beans, snap, green, frozen, cooked, boiled, drained without salt",100.0,"beans, snap, green, frozen, cooked, boiled, drained without salt",1.0,"beans, snap, green, frozen, cooked, boiled, drained without salt",0.99999964,"beans, snap, green, frozen, cooked, boiled, drained without salt"
"snacks, granola bar, kashi tlc bar, chewy, mixed flavors","snacks, granola bar, kashi tlc bar, chewy, mixed flavors",40,"snacks, granola bar, kashi tlc bar, chewy, mixed flavors",100.0,"snacks, granola bar, kashi tlc bar, chewy, mixed flavors",1.0,"snacks, granola bar, kashi tlc bar, chewy, mixed flavors",1.0000001,"snacks, granola bar, kashi tlc bar, chewy, mixed flavors"
"cereals, oats, regular and quick, not fortified, dry","cereals, oats, regular and quick, not fortified, dry",41,"cereals, oats, regular and quick, not fortified, dry",100.0,"cereals, oats, regular and quick, not fortified, dry",1.0000000000000002,"cereals, oats, regular and quick, not fortified, dry",1.0000002,"cereals, oats, regular and quick, not fortified, dry"
"cereals, whole wheat hot natural cereal, dry","cereals, whole wheat hot natural cereal, dry",42,"cereals, whole wheat hot natural cereal, dry",100.0,"cereals, whole wheat hot natural cereal, dry",1.0000000000000002,"cereals, whole wheat hot natural cereal, dry",1.0000008,"cereals, whole wheat hot natural cereal, dry"
"rice, brown, long-grain, cooked (includes foods for usda's food distribution program)","rice, brown, long-grain, cooked",43,"rice, brown, long-grain, raw (includes foods for usda's food distribution program)",95.1048951048951,"rice, brown, long-grain, raw (includes foods for usda's food distribution program)",0.9773332829401441,"rice, brown, long-grain, raw (includes foods for usda's food distribution program)",0.9869049,"rice, brown, long-grain, raw (includes foods for usda's food distribution program)"
"spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt","spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",44,"spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",100.0,"spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",1.0,"spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",0.99999976,"spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt"
"cereals ready-to-eat, general mills, cinnamon toast crunch","cereals ready-to-eat, general mills, cinnamon toast crunch",45,"cereals ready-to-eat, general mills, cinnamon toast crunch",100.0,"cereals ready-to-eat, general mills, cinnamon toast crunch",1.0000000000000002,"cereals ready-to-eat, general mills, cinnamon toast crunch",1.0000005,"cereals ready-to-eat, general mills, cinnamon toast crunch"
"beans, black, mature seeds, cooked, boiled, without salt","beans, black, mature seeds, cooked, boiled, without salt",46,"beans, black, mature seeds, cooked, boiled, with salt",100.0,"beans, black, mature seeds, cooked, boiled, with salt",1.0000000000000004,"beans, black, mature seeds, cooked, boiled, without salt",0.9999992,"beans, black, mature seeds, cooked, boiled, without salt"
"snacks, potato chips, white, restructured, baked","snacks, potato chips, white, restructured, baked",47,"snacks, potato chips, white, restructured, baked",100.0,"snacks, potato chips, white, restructured, baked",1.0,"snacks, potato chips, white, restructured, baked",1.0000005,"snacks, potato chips, white, restructured, baked"
"rice, white, long-grain, regular, enriched, cooked","rice, white, long-grain, regular, cooked",48,"rice, white, long-grain, regular, cooked",91.13924050632912,"rice, white, long-grain, regular, cooked",0.9271482846059761,"rice, white, long-grain, regular, cooked",0.98188007,"rice, white, long-grain, regular, cooked"
"nuts, cashew nuts, dry roasted, without salt added","nuts, cashew nuts, dry roasted, without salt added",49,"nuts, cashew nuts, dry roasted, with salt added",100.0,"nuts, cashew nuts, dry roasted, with salt added",1.0,"nuts, cashew nuts, dry roasted, without salt added",1.0000007,"nuts, cashew nuts, dry roasted, without salt added"
"nuts, brazilnuts, dried, unblanched","nuts, brazilnuts, dried, unblanched",50,"nuts, brazilnuts, dried, unblanched",100.0,"nuts, brazilnuts, dried, unblanched",1.0000000000000002,"nuts, brazilnuts, dried, unblanched",0.9999991,"nuts, brazilnuts, dried, unblanched"
"nuts, hazelnuts or filberts","nuts, hazelnuts or filberts",51,"nuts, hazelnuts or filberts",100.0,"nuts, hazelnuts or filberts",1.0,"nuts, hazelnuts or filberts",0.9999992,"nuts, hazelnuts or filberts"
"nuts, pecans","nuts, pecans",52,"nuts, pecans",100.0,"nuts, pecans",1.0,"nuts, pecans",1.0000014,"nuts, pecans"
"nuts, pistachio nuts, dry roasted, without salt added","nuts, pistachio nuts, dry roasted, without salt added",53,"nuts, pistachio nuts, dry roasted, without salt added",100.0,"nuts, pistachio nuts, dry roasted, without salt added",1.0000000000000002,"nuts, pistachio nuts, dry roasted, without salt added",1.0000004,"nuts, pistachio nuts, dry roasted, without salt added"
"nuts, walnuts, english","nuts, walnuts, english",54,"nuts, walnuts, english",100.0,"nuts, walnuts, english",1.0,"nuts, walnuts, english",0.9999996,"nuts, walnuts, english"
"snacks, granola bars, soft, almond, confectioners coating","snacks, granola bars, soft, almond, confectioners coating",55,"snacks, granola bars, soft, almond, confectioners coating",100.0,"snacks, granola bars, soft, almond, confectioners coating",1.0,"snacks, granola bars, soft, almond, confectioners coating",0.9999997,"snacks, granola bars, soft, almond, confectioners coating"
"sauce, barbecue","sauce, barbecue",56,"sauce, barbecue",100.0,"sauce, barbecue",1.0000000000000002,"sauce, barbecue",1.0000004,"sauce, barbecue"
"blueberries, frozen, unsweetened (includes foods for usda's food distribution program)","blueberries, frozen, unsweetened",57,"carrots, frozen, unprepared (includes foods for usda's food distribution program)",81.11888111888112,"cheese, cheddar (includes foods for usda's food distribution program)",0.7373526762133762,"blueberries, frozen, unsweetened",0.93379897,"blueberries, frozen, unsweetened"
"bananas, raw","bananas, raw",58,"bananas, raw",100.0,"bananas, raw",1.0,"bananas, raw",1.0000012,"bananas, raw"
"formulated bar, power bar, chocolate","formulated bar, power bar, chocolate",59,"formulated bar, power bar, chocolate",100.0,"formulated bar, power bar, chocolate",1.0000000000000002,"formulated bar, power bar, chocolate",0.99999964,"formulated bar, power bar, chocolate"
"cereals, oats, instant, fortified, plain, dry","cereals, oats, instant, fortified, plain, dry",60,"cereals, oats, instant, fortified, plain, dry",100.0,"cereals, oats, instant, fortified, plain, dry",1.0000000000000002,"cereals, oats, instant, fortified, plain, dry",0.9999998,"cereals, oats, instant, fortified, plain, dry"
"soup, chicken broth, ready-to-serve","soup, chicken broth, canned, ready-to-serve",61,"soup, chicken broth, canned, ready-to-serve",93.75,"soup, chicken broth, canned, ready-to-serve",0.9486898317791808,"soup, chicken broth, canned, ready-to-serve",0.98008764,"soup, chicken broth, canned, ready-to-serve"
"onions, raw","onions, raw",62,"onions, raw",100.0,"onions, raw",1.0,"onions, raw",1.0,"onions, raw"
"carrots, raw","carrots, raw",63,"carrots, raw",100.0,"carrots, raw",1.0,"carrots, raw",0.999999,"carrots, raw"
"parsley, fresh","parsley, fresh",64,"parsley, fresh",100.0,"parsley, fresh",1.0,"parsley, fresh",0.9999998,"parsley, fresh"
"noodles, egg, dry, enriched","noodles, egg, dry, enriched",65,"noodles, egg, dry, enriched",100.0,"noodles, egg, dry, enriched",1.0,"noodles, egg, dry, enriched",1.0000001,"noodles, egg, dry, enriched"
"corn, sweet, yellow, canned, cream style, regular pack","corn, sweet, yellow, canned, cream style, regular pack",66,"corn, sweet, yellow, canned, cream style, regular pack",100.0,"corn, sweet, yellow, canned, cream style, regular pack",0.9999999999999999,"corn, sweet, yellow, canned, cream style, regular pack",1.0000002,"corn, sweet, yellow, canned, cream style, regular pack"
"pasta, cooked, enriched, without added salt","spaghetti, cooked, enriched, without added salt",67,"spaghetti, cooked, enriched, without added salt",85.71428571428572,"spaghetti, cooked, enriched, without added salt",0.6488265693410983,"spaghetti, cooked, enriched, without added salt",0.9755461,"parsnips, cooked, boiled, drained, without salt"
"sauce, pasta, spaghetti/marinara, ready-to-serve","sauce, pasta, spaghetti/marinara, ready-to-serve",68,"sauce, pasta, spaghetti/marinara, ready-to-serve",100.0,"sauce, pasta, spaghetti/marinara, ready-to-serve",1.0000000000000004,"sauce, pasta, spaghetti/marinara, ready-to-serve",1.0,"sauce, pasta, spaghetti/marinara, ready-to-serve"
"vegetables, mixed, frozen, cooked, boiled, drained, without salt","vegetables, mixed, frozen, cooked, boiled, drained, without salt",69,"vegetables, mixed, frozen, cooked, boiled, drained, with salt",100.0,"vegetables, mixed, frozen, cooked, boiled, drained, with salt",1.0000000000000002,"vegetables, mixed, frozen, cooked, boiled, drained, without salt",0.99999976,"vegetables, mixed, frozen, cooked, boiled, drained, without salt"
"cheese sauce, prepared from recipe","cheese sauce, prepared from recipe",70,"cheese sauce, prepared from recipe",100.0,"cheese sauce, prepared from recipe",1.0000000000000002,"cheese sauce, prepared from recipe",1.0000004,"cheese sauce, prepared from recipe"
"shortening, vegetable, household, composite","shortening, vegetable, household, composite",71,"shortening, vegetable, household, composite",100.0,"shortening, vegetable, household, composite",1.0000000000000002,"shortening, vegetable, household, composite",1.0000002,"shortening, vegetable, household, composite"
"leavening agents, yeast, baker's, active dry","leavening agents, yeast, baker's, active dry",72,"leavening agents, yeast, baker's, active dry",100.0,"leavening agents, yeast, baker's, active dry",1.0000000000000002,"leavening agents, yeast, baker's, active dry",1.0000001,"leavening agents, yeast, baker's, active dry"
"wheat flour, whole-grain (includes foods for usda's food distribution program)","wheat flour, whole-grain",73,"rice, brown, long-grain, raw (includes foods for usda's food distribution program)",83.5820895522388,"cheese, cheddar (includes foods for usda's food distribution program)",0.771141137206163,"usda commodity, bakery, flour mix",0.9277076,"wheat flour, whole-grain, soft wheat"
"snacks, popcorn, home-prepared, oil-popped, unsalted","snacks, popcorn, home-prepared, oil-popped, unsalted",74,"snacks, popcorn, home-prepared, oil-popped, unsalted",100.0,"snacks, popcorn, home-prepared, oil-popped, unsalted",1.0,"snacks, popcorn, home-prepared, oil-popped, unsalted",1.0000011,"snacks, popcorn, home-prepared, oil-popped, unsalted"
"sausage, vienna, canned, chicken, beef, pork","sausage, vienna, canned, chicken, beef, pork",75,"sausage, vienna, canned, chicken, beef, pork",100.0,"sausage, vienna, canned, chicken, beef, pork",1.0,"sausage, vienna, canned, chicken, beef, pork",1.0000002,"sausage, vienna, canned, chicken, beef, pork"
"tomatoes, red, ripe, canned, packed in tomato juice","tomatoes, red, ripe, canned, packed in tomato juice",76,"tomatoes, red, ripe, canned, packed in tomato juice",100.0,"tomatoes, red, ripe, canned, packed in tomato juice",1.0000000000000002,"tomatoes, red, ripe, canned, packed in tomato juice",1.0000001,"tomatoes, red, ripe, canned, packed in tomato juice"
"couscous, cooked","couscous, cooked",77,"couscous, cooked",100.0,"couscous, cooked",1.0000000000000002,"couscous, cooked",1.0000004,"couscous, cooked"
"squash, summer, zucchini, includes skin, raw","squash, summer, zucchini, includes skin, raw",78,"squash, summer, zucchini, includes skin, raw",100.0,"squash, summer, zucchini, includes skin, raw",1.0,"squash, summer, zucchini, includes skin, raw",1.0,"squash, summer, zucchini, includes skin, raw"
"squash, summer, crookneck and straightneck, raw","squash, summer, crookneck and straightneck, raw",79,"squash, summer, crookneck and straightneck, raw",100.0,"squash, summer, crookneck and straightneck, raw",1.0000000000000002,"squash, summer, crookneck and straightneck, raw",1.0000001,"squash, summer, crookneck and straightneck, raw"
"tortillas, ready-to-bake or -fry, flour, refrigerated","tortillas, ready-to-bake or -fry, flour, refrigerated",80,"tortillas, ready-to-bake or -fry, flour, refrigerated",100.0,"tortillas, ready-to-bake or -fry, flour, refrigerated",1.0,"tortillas, ready-to-bake or -fry, flour, refrigerated",1.0000001,"tortillas, ready-to-bake or -fry, flour, refrigerated"
"sauce, salsa, ready-to-serve","sauce, salsa, ready-to-serve",81,"sauce, salsa, ready-to-serve",100.0,"sauce, salsa, ready-to-serve",1.0,"sauce, salsa, ready-to-serve",0.99999976,"sauce, salsa, ready-to-serve"
"gravy, chicken, canned or bottled, ready-to-serve","gravy, chicken, canned, ready-to-serve",82,"gravy, chicken, canned, ready-to-serve",87.87878787878788,"gravy, chicken, canned, ready-to-serve",0.8474138132126622,"gravy, chicken, canned, ready-to-serve",0.98399043,"gravy, chicken, canned, ready-to-serve"
"cake, yellow, commercially prepared, with vanilla frosting","cake, yellow, commercially prepared, with vanilla frosting",83,"cake, yellow, commercially prepared, with vanilla frosting",100.0,"cake, yellow, commercially prepared, with vanilla frosting",1.0000000000000002,"cake, yellow, commercially prepared, with vanilla frosting",0.9999999,"cake, yellow, commercially prepared, with vanilla frosting"
"tomato products, canned, sauce","tomato products, canned, sauce",84,"tomato products, canned, sauce",100.0,"tomato products, canned, sauce",1.0000000000000002,"tomato products, canned, sauce",0.9999995,"tomato products, canned, sauce"
"beverages, water, tap, municipal","water, tap, municipal",85,"water, tap, municipal",80.85106382978724,"water, tap, municipal",0.9306324150360104,"water, tap, municipal",0.97584873,"beverages, tea, hibiscus, brewed"
"syrups, table blends, pancake, with 2% maple","syrups, table blends, pancake, with 2% maple",86,"syrups, table blends, pancake, with 2% maple",100.0,"syrups, table blends, pancake, with 2% maple",1.0000000000000002,"syrups, table blends, pancake, with 2% maple",1.0000001,"syrups, table blends, pancake, with 2% maple"
"rice, white, glutinous, unenriched, cooked","rice, white, glutinous, cooked",87,"rice, white, glutinous, cooked",83.07692307692307,"rice, white, glutinous, cooked",0.8918502610195356,"rice, white, glutinous, cooked",0.984807,"rice, white, glutinous, cooked"
"seaweed, laver, raw","seaweed, laver, raw",88,"seaweed, laver, raw",100.0,"seaweed, laver, raw",1.0000000000000002,"seaweed, laver, raw",1.0000004,"seaweed, laver, raw"
"avocados, raw, all commercial varieties","avocados, raw, all commercial varieties",89,"avocados, raw, all commercial varieties",100.0,"avocados, raw, all commercial varieties",1.0,"avocados, raw, all commercial varieties",1.0,"avocados, raw, all commercial varieties"
"cucumber, with peel, raw","cucumber, with peel, raw",90,"cucumber, with peel, raw",100.0,"cucumber, with peel, raw",1.0000000000000002,"cucumber, with peel, raw",1.0,"cucumber, with peel, raw"
"potatoes, baked, flesh and skin, without salt","potato, baked, flesh and skin, without salt",91,"potato, baked, flesh and skin, without salt",100.0,"potato, baked, flesh and skin, without salt",1.0000000000000002,"potato, baked, flesh and skin, without salt",0.9940027,"potato, baked, flesh and skin, without salt"
"sauce, ready-to-serve, pepper, tabasco","sauce, ready-to-serve, pepper, tabasco",92,"sauce, ready-to-serve, pepper, tabasco",100.0,"sauce, ready-to-serve, pepper, tabasco",1.0000000000000002,"sauce, ready-to-serve, pepper, tabasco",1.0000005,"sauce, ready-to-serve, pepper, tabasco"
"beverage, instant breakfast powder, chocolate, not reconstituted","beverage, instant breakfast powder, chocolate, not reconstituted",93,"beverage, instant breakfast powder, chocolate, not reconstituted",100.0,"beverage, instant breakfast powder, chocolate, not reconstituted",1.0,"beverage, instant breakfast powder, chocolate, not reconstituted",1.0000001,"beverage, instant breakfast powder, chocolate, not reconstituted"
"cake, pudding-type, yellow, dry mix","cake, yellow, dry mix, pudding-type",94,"puddings, tapioca, dry mix",69.0909090909091,"cake, yellow, dry mix, pudding-type",1.0000000000000002,"cake, yellow, dry mix, pudding-type",0.9977879,"cake, angelfood, dry mix"
"cereals ready-to-eat, kellogg's frosted mini-wheats, big bite","cereals ready-to-eat, kellogg's frosted mini-wheats, big bite",95,"cereals ready-to-eat, kellogg's frosted mini-wheats, big bite",100.0,"cereals ready-to-eat, kellogg's frosted mini-wheats, big bite",1.0000000000000002,"cereals ready-to-eat, kellogg's frosted mini-wheats, big bite",1.0000001,"cereals ready-to-eat, kellogg's frosted mini-wheats, big bite"
"cheese, mozzarella, low moisture, part-skim","cheese, mozzarella, part skim milk, low moisture",96,"cheese, mozzarella, low moisture, part-skim",100.0,"cheese, mozzarella, low moisture, part-skim",1.0000000000000002,"cheese, mozzarella, low moisture, part-skim",1.0000001,"cheese, mozzarella, low moisture, part-skim"
"bread, white, commercially prepared (includes soft bread crumbs)","bread, white, commercially prepared (includes soft bread crumbs)",97,"bread, white, commercially prepared (includes soft bread crumbs)",100.0,"bread, white, commercially prepared (includes soft bread crumbs)",1.0,"bread, white, commercially prepared (includes soft bread crumbs)",1.0000007,"bread, white, commercially prepared (includes soft bread crumbs)"
"beans, pinto, mature seeds, cooked, boiled, without salt","beans, pinto, mature seeds, cooked, boiled, without salt",98,"beans, pinto, mature seeds, cooked, boiled, with salt",100.0,"beans, pinto, mature seeds, cooked, boiled, with salt",1.0,"beans, pinto, mature seeds, cooked, boiled, without salt",1.0000007,"beans, pinto, mature seeds, cooked, boiled, without salt"
"beverages, fruit flavored drink, less than 3% juice, not fortified with vitamin c","fruit flavored drink, less than 3% juice, not fortified with vitamin c",99,"fruit flavored drink, less than 3% juice, not fortified with vitamin c",90.32258064516128,"fruit flavored drink, less than 3% juice, not fortified with vitamin c",0.9363093470719404,"fruit flavored drink, less than 3% juice, not fortified with vitamin c",0.9841824,"beverages, fruit juice drink, reduced sugar, with vitamin e added"
"soup, cream of mushroom, canned, condensed","soup, cream of mushroom, canned, condensed",100,"soup, cream of mushroom, canned, condensed",100.0,"soup, cream of mushroom, canned, condensed",1.0000000000000002,"soup, cream of mushroom, canned, condensed",0.9999989,"soup, cream of mushroom, canned, condensed"
