List_A_Item	Best_Match_from_List_B
turkey, all classes, light meat, cooked, roasted	none
onions, cooked, boiled, drained, without salt	onion
squash, summer, all varieties, cooked, boiled, drained, without salt	none
cheese, cottage, lowfat, 2% milkfat	cottage cheese
pineapple, raw, all varieties	gold (golden) pineapple
seaweed, laver, raw	roasted seaweed
beverages, coffee, brewed, espresso, restaurant-prepared	brewed coffee
soy sauce made from soy and wheat (shoyu), low sodium	soy sauce
syrups, maple	none
oat bran, raw	cooked oat bran
rice, white, glutinous, unenriched, cooked	enriched long white rice (mahatma)
cherries, sweet, raw	whole sweet cherry
grapefruit, raw, pink and red, all areas	deep red grapefruit
lime juice, raw	lime juice
melons, cantaloupe, raw	cantaloupe melon
beans, great northern, mature seeds, canned	canned black beans (s&w)
butter, without salt	unsalted butter
broccoli, frozen, chopped, cooked, boiled, drained, without salt	frozen broccoli florets
carrots, frozen, cooked, boiled, drained, without salt	steamed whole carrots
squash, summer, crookneck and straightneck, raw	steamed yellow neck squash
squash, summer, zucchini, includes skin, raw	none
cheese, cream	sour cream
bacon, turkey, microwaved	plant based bacon strip
cranberry sauce, canned, sweetened	cranberry
apple juice, canned or bottled, unsweetened, with added ascorbic acid	apple juice
beans, snap, green, frozen, cooked, boiled, drained without salt	none
sugars, powdered	none
plums, raw	whole red plum
peanuts, all types, dry-roasted, without salt	peanuts
turkey from whole, light meat, meat only, with added solution, cooked, roasted	none
tangerines, (mandarin oranges), canned, juice pack	pulp free orange juice
spinach, raw	none
beef, round, tip round, roast, separable lean only, trimmed to 0 fat, all grades, cooked, roasted	none
barley, pearled, cooked	whole grain pearl barley
butter oil, anhydrous	unsalted butter
salad dressing, mayonnaise, light	mayonnaise
snacks, popcorn, cheese-flavor	popcorn
peppers, sweet, red, raw	steamed whole red bell pepper w/o seed
mustard greens, raw	none
beverages, almond milk, unsweetened, shelf stable	none
beverages, coconut milk, sweetened, fortified with calcium, vitamins a, b12, d2	coconut milk
crustaceans, shrimp, mixed species, cooked, moist heat (may have been previously frozen)	shrimp
soy sauce made from soy and wheat (shoyu)	soy sauce
tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)	soft silken tofu
beans, snap, green, raw	none
mushrooms, white, cooked, boiled, drained, without salt	steamed whole white mushrooms
sweet potato, cooked, boiled, without skin	steamed whole sweet potato
orange juice, raw	pulp free orange juice
corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt	frozen whole sweet green peas (flav r pac)
cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt	black-eyed peas
turkey, whole, meat only, cooked, roasted	none
turkey, whole, meat only, with added solution, roasted	none
carrots, cooked, boiled, drained, without salt	steamed whole carrots
beverages, pepsico quaker, gatorade, g performance o 2, ready-to-drink.	gatorade
cabbage, cooked, boiled, drained, without salt	none
cauliflower, frozen, cooked, boiled, drained, without salt	none
squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt	none
squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt	none
seeds, pumpkin and squash seed kernels, roasted, without salt	none
nuts, almonds, dry roasted, without salt added	pecan
nuts, brazilnuts, dried, unblanched	brazil nuts
nuts, coconut milk, raw (liquid expressed from grated meat and water)	coconut milk
nuts, pistachio nuts, dry roasted, without salt added	none
lentils, mature seeds, cooked, boiled, without salt	whole grain brown lentils
collards, raw	steamed collard greens leaves and stalk
peas, split, mature seeds, cooked, boiled, without salt	green split peas
beef, top sirloin, steak, separable lean only, trimmed to 1/8 fat, all grades, cooked, broiled	none
yogurt, plain, low fat	yogurt
tomato products, canned, puree, with salt added	hunt's tomato paste
beans, kidney, red, mature seeds, cooked, boiled, without salt	canned kidney beans
beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0 fat, all grades, raw	none
beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0 fat, all grades, raw	none
melons, honeydew, raw	honeydew melon
lettuce, red leaf, raw	steamed whole red bell pepper w/o seed
okra, frozen, cooked, boiled, drained, without salt	frozen whole okra
beef, round, full cut, separable lean and fat, trimmed to 1/8 fat, choice, cooked, broiled	none
beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned	ground pork
strawberries, frozen, unsweetened	frozen whole sweet green peas (flav r pac)
tangerines, (mandarin oranges), raw	pixie tangerine
snacks, banana chips	banana chips
turkey, dark meat, meat only, with added solution, cooked, roasted	none
spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt	frozen chopped spinach (green giant)
crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)	shrimp
beef, round, top round steak, boneless, separable lean only, trimmed to 0 fat, all grades, raw	none
beans, black turtle, mature seeds, cooked, boiled, without salt	canned black beans (s&w)
cauliflower, cooked, boiled, drained, without salt	none
peppers, sweet, red, cooked, boiled, drained, without salt	steamed whole red bell pepper w/o seed
nuts, almonds, blanched	pecan
chickpeas (garbanzo beans, bengal gram), mature seeds, raw	canned garbanzo beans
applesauce, canned, sweetened, without salt	none
beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, all grades, raw	none
beef, round, top round roast, boneless, separable lean and fat, trimmed to 0 fat, all grades, raw	none
beef, round, eye of round roast, boneless, separable lean only, trimmed to 0 fat, all grades, raw	none
chicken, broilers or fryers, drumstick, meat only, cooked, braised	none
chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised	none
turkey, all classes, wing, meat and skin, cooked, roasted	none
turkey, wing, from whole bird, meat only, with added solution, roasted	none
beef, cured, breakfast strips, cooked	none
nuts, macadamia nuts, dry roasted, with salt added	pecan
grapefruit, sections, canned, water pack, solids and liquids	deep red grapefruit
brussels sprouts, raw	steamed whole brussel sprouts
cocoa, dry powder, unsweetened, processed with alkali	cocoa powder
beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated	brewed coffee
crustaceans, shrimp, mixed species, canned	shrimp
alfalfa seeds, sprouted, raw	alfalfa
turkey, whole, meat only, raw	none
chives, raw	chives
beef, ground, 95% lean meat / 5% fat, raw	ground pork
beef, ground, 90% lean meat / 10% fat, raw	ground pork
beef, ground, 80% lean meat / 20% fat, raw	ground pork
beef, ground, 75% lean meat / 25% fat, raw	ground pork
beets, raw	peeled, steamed beetroot
carrot juice, canned	carrot juice
frankfurter, turkey	none
nectarines, raw	whole yellow nectarine
watermelon, raw	none
okra, cooked, boiled, drained, without salt	frozen whole okra
plums, dried (prunes), stewed, without added sugar	none
turkey, thigh, from whole bird, meat only, with added solution, roasted	none
turkey, thigh, from whole bird, meat only, roasted	none
milk, chocolate, fat free, with added vitamin a and vitamin d	whole milk
kiwifruit, green, raw	kiwi
lettuce, cos or romaine, raw	romaine lettuce
seeds, pumpkin and squash seed kernels, dried	none
lima beans, large, mature seeds, cooked, boiled, without salt	lima beans
beans, snap, yellow, frozen, cooked, boiled, drained, without salt	frozen whole sweet green peas (flav r pac)
collards, cooked, boiled, drained, without salt	steamed collard greens leaves and stalk
kale, cooked, boiled, drained, without salt	kale
pumpkin, cooked, boiled, drained, without salt	none
seeds, flaxseed	golden flaxseed
beef, round, eye of round, roast, separable lean only, trimmed to 1/8 fat, choice, raw	none
beans, snap, green, cooked, boiled, drained, without salt	steamed green beans
cherries, sour, red, canned, water pack, solids and liquids	whole sweet cherry
artichokes, (globe or french), cooked, boiled, drained, without salt	canned artichoke hearts
spinach, cooked, boiled, drained, without salt	none
squash, winter, all varieties, cooked, baked, without salt	steamed butternut squash
wild rice, raw	none
kale, raw	kale
mushrooms, shiitake, cooked, without salt	steamed whole shiitake mushrooms
seaweed, kelp, raw	roasted seaweed
corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt	frozen whole sweet green peas (flav r pac)
turkey, whole, neck, meat only, cooked, simmered	none
cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt	black-eyed peas
sausage, meatless	beyond sausage
apricots, dried, sulfured, uncooked	dried apricots
mango, dried, sweetened	dried philippines mango (mariani)
bulgur, dry	none
beverages, wine, non-alcoholic	cabernet sauvignon wine
chard, swiss, cooked, boiled, drained, without salt	none
seaweed, agar, dried	roasted seaweed
beef, round, top round, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, braised	none
cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids	whole sweet cherry
pumpkin, canned, without salt	canned pumpkin
sour cream, light	sour cream
beans, pinto, mature seeds, raw	canned kidney beans
papayas, raw	tai nung papaya
basil, fresh	basil
nuts, pine nuts, dried	pine nut
asparagus, canned, drained solids	frozen whole baby asparagus
beverages, abbott, eas soy protein powder	protein powder
dates, deglet noor	dates
okra, raw	frozen whole okra
chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw	none
cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt	black-eyed peas
beef, top sirloin, steak, separable lean only, trimmed to 1/8 fat, choice, cooked, broiled	none
beef, round, full cut, separable lean and fat, trimmed to 1/8 fat, choice, raw	none
cheese, pasteurized process, american, fortified with vitamin d	none
peanuts, all types, oil-roasted, with salt	peanuts
chicken, broilers or fryers, meat only, stewed	none
beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked	ground pork
marmalade, orange	pulp free orange juice
broccoli, frozen, chopped, unprepared	frozen broccoli florets
cauliflower, frozen, unprepared	none
corn, sweet, yellow, frozen, kernels cut off cob, unprepared	frozen whole sweet green peas (flav r pac)
peppers, sweet, red, frozen, chopped, unprepared	steamed whole red bell pepper w/o seed
wild rice, cooked	none
mangos, raw	tai nung papaya
beverages, abbott, eas whey protein powder	protein powder
yambean (jicama), raw	jicama
couscous, cooked	toasted pearl couscous
turkey, all classes, leg, meat and skin, cooked, roasted	none
mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt	green split peas
eggplant, cooked, boiled, drained, without salt	eggplant
sweet potato, canned, vacuum pack	none
turkey, whole, light meat, meat and skin, cooked, roasted	none
turkey from whole, light meat, meat and skin, with added solution, cooked, roasted	none
soup, chicken broth, canned, condensed	low sodium chicken broth
brussels sprouts, frozen, cooked, boiled, drained, without salt	none
rice, white, long-grain, regular, cooked, enriched, with salt	enriched long white rice (mahatma)
rice noodles, cooked	stir fry rice noodle
peanuts, all types, oil-roasted, without salt	peanuts
chicken, broilers or fryers, light meat, meat only, cooked, stewed	none
eggplant, raw	eggplant
soy flour, full-fat, raw	soy flour
pork, cured, salt pork, raw	none
limes, raw	none
celery, cooked, boiled, drained, without salt	steamed celery stalk
butter, light, stick, with salt	unsalted butter
squash, summer, crookneck and straightneck, canned, drained, solid, without salt	steamed yellow neck squash
cheese spread, cream cheese base	cream cheese
sweet potato, raw, unprepared (includes foods for usda's food distribution program)	none
beverages, protein powder soy based	protein powder
pork, fresh, ground, cooked	none
bacon, meatless	plant based bacon strip
blueberries, frozen, sweetened	frozen whole blueberry
beverages, coffee, instant, regular, half the caffeine	brewed coffee
beef, flank, steak, separable lean only, trimmed to 0 fat, choice, raw	none
cheese, mozzarella, whole milk	whole milk
chicken, broilers or fryers, breast, meat only, cooked, roasted	none
wheat flour, white, all-purpose, unenriched	white bread
beef, round, tip round, roast, separable lean and fat, trimmed to 1/8 fat, choice, cooked, roasted	none
rice, white, long-grain, regular, unenriched, cooked without salt	enriched long white rice (mahatma)
lime juice, canned or bottled, unsweetened	lime juice
lima beans, immature seeds, cooked, boiled, drained, without salt	lima beans
beef, round, tip round, roast, separable lean and fat, trimmed to 1/8 fat, select, cooked, roasted	none
blueberries, canned, heavy syrup, solids and liquids	canned black beans (s&w)
pomegranates, raw	pomegranate w/ seeds
turkey, drumstick, from whole bird, meat only, with added solution, roasted	none
turkey, drumstick, from whole bird, meat only, roasted	none
cocoa, dry powder, hi-fat or breakfast, processed with alkali	cocoa powder
sour cream, reduced fat	sour cream
bulgur, cooked	none
soy protein isolate	none
cherries, sweet, canned, water pack, solids and liquids	whole sweet cherry
turkey, light or dark meat, smoked, cooked, skin and bone removed	none
turkey, light or dark meat, smoked, cooked, with skin, bone removed	none
asparagus, cooked, boiled, drained	frozen whole baby asparagus
artichokes, (globe or french), frozen, cooked, boiled, drained, without salt	canned artichoke hearts
asparagus, frozen, cooked, boiled, drained, without salt	frozen whole baby asparagus
squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt	spaghetti
beef, round, tip round, roast, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, roasted	none
seaweed, spirulina, dried	roasted seaweed
cheese, pasteurized process, cheddar or american, low sodium	none
grapefruit, sections, canned, light syrup pack, solids and liquids	deep red grapefruit
milk, reduced fat, fluid, 2% milkfat, without added vitamin a and vitamin d	whole milk
egg, whole, cooked, fried	none
turkey, whole, dark meat, cooked, roasted	none
arugula, raw	arugula
beans, kidney, all types, mature seeds, cooked, boiled, without salt	canned kidney beans
milk, whole, 3.25% milkfat, without added vitamin a and vitamin d	whole milk
apricots, dried, sulfured, stewed, without added sugar	dried apricots
chicken, cornish game hens, meat only, cooked, roasted	none
chard, swiss, raw	steamed whole red bell pepper w/o seed
turkey, whole, wing, meat only, cooked, roasted	none
cherries, sweet, canned, juice pack, solids and liquids	whole sweet cherry
turkey, wing, smoked, cooked, with skin, bone removed	none
snacks, popcorn, cakes	popcorn
turkey, whole, meat and skin, cooked, roasted	none
turkey, whole, meat and skin, with added solution, roasted	none
beans, black, mature seeds, raw	canned black beans (s&w)
turkey, whole, giblets, cooked, simmered	none
mustard greens, cooked, boiled, drained, without salt	none
cauliflower, green, cooked, no salt added	none
peanuts, all types, cooked, boiled, with salt	peanuts
tangerines, (mandarin oranges), canned, juice pack, drained	pulp free orange juice
cherries, sour, red, frozen, unsweetened	whole sweet cherry
brussels sprouts, cooked, boiled, drained, without salt	none
nuts, almond butter, plain, with salt added	almond butter (justin's)
grapefruit, raw, pink and red and white, all areas	deep red grapefruit
turkey, dark meat from whole, meat and skin, with added solution, cooked, roasted	none
kale, frozen, cooked, boiled, drained, without salt	kale
cheese, low-sodium, cheddar or colby	none
beverages, protein powder whey based	protein powder
pie fillings, blueberry, canned	none
cabbage, red, cooked, boiled, drained, without salt	none
buckwheat groats, roasted, cooked	hot cereal whole grain creamy buckwheat
blackberries, frozen, unsweetened	frozen whole sweet green peas (flav r pac)
cheese, mozzarella, nonfat	low moisture part skim mozarella cheese
nuts, almonds, oil roasted, without salt added	pecan
plantains, cooked	none
soymilk (all flavors), nonfat, with added calcium, vitamins a and d	soy milk
egg, whole, cooked, scrambled	none
protein supplement, milk based, muscle milk, powder	protein powder
tomatoes, red, ripe, canned, packed in tomato juice, no salt added	muir's diced tomatoes
turkey, back, from whole bird, meat and skin, with added solution, roasted	none
turkey, retail parts, thigh, meat and skin, cooked, roasted	none
protein supplement, milk based, muscle milk light, powder	protein powder
refried beans, canned, fat-free	refried beans
turkey, whole, dark meat, meat and skin, cooked, roasted	none
turkey, drumstick, smoked, cooked, with skin, bone removed	none
cheese, mozzarella, part skim milk	low moisture part skim mozarella cheese
turkey, whole, meat and skin, raw	none
turkey, retail parts, breast, meat and skin, with added solution, raw	none
beans, mature, red kidney, canned, solids and liquid, low sodium	canned kidney beans
nuts, cashew butter, plain, with salt added	cashew
cheese, american, nonfat or fat free	american cheese
cherries, tart, dried, sweetened (includes foods for usda's food distribution program)	whole sweet cherry
lentils, raw	whole grain brown lentils
quinoa, cooked	quinoa
cheese, pasteurized process, american, low fat	none
babyfood, fruit, applesauce, strained	original apple sauce (tree top)
beans, black turtle, mature seeds, canned	canned black beans (s&w)
mushrooms, shiitake, dried	steamed whole shiitake mushrooms
cheese, mozzarella, low sodium	low moisture part skim mozarella cheese
beverages, tea, black, ready-to-drink, lemon, sweetened	none
beverages, tea, black, ready to drink	black tea
yogurt, greek, plain, lowfat	yogurt
yogurt, greek, plain, whole milk	yogurt
beverages, tea, black, ready to drink, decaffeinated	none
apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium	apple juice
beverages, tea, black, ready-to-drink, lemon, diet	none
beans, pinto, mature seeds, canned, solids and liquids, low sodium	canned black beans (s&w)
edamame, frozen, prepared	frozen edamame
beverages, tea, black, ready to drink, decaffeinated, diet	none
yogurt, greek, vanilla, lowfat	yogurt
beverages, cocoa mix, no sugar added, powder	none
babyfood, cereal, barley, dry fortified	whole grain pearl barley
refried beans, canned, traditional, reduced sodium	refried beans
cauliflower, green, raw	steamed cauliflower florets and stalk
blackberries, canned, heavy syrup, solids and liquids	canned black beans (s&w)
cherries, sweet, canned, light syrup pack, solids and liquids	whole sweet cherry
babyfood, cookies	chocolate chip cookies
egg, whole, cooked, poached	none
chicken breast, deli, rotisserie seasoned, sliced, prepackaged	chicken breast
chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium	canned garbanzo beans
babyfood, cereal, rice, dry fortified	enriched long white rice (mahatma)
broccoli, frozen, spears, cooked, boiled, drained, without salt	frozen broccoli florets
reduced sodium: chicken breast, deli, rotisserie seasoned, sliced, prepackaged	chicken breast
pork sausage, link/patty, reduced fat, cooked, pan-fried	none
apples, raw, without skin	yellow banana flesh only
pork, cured, bacon, pre-sliced, cooked, pan-fried	none
peppers, hot chili, red, raw	steamed whole red bell pepper w/o seed
beef, chuck, blade roast, separable lean only, trimmed to 0 fat, all grades, cooked, braised	none
corn flour, masa, unenriched, white	cornmeal
frankfurter, beef, unheated	none
pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw	none
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat, raw	none
pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw	none
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat,with added solution, raw	none
carrots, raw	steamed whole carrots
potatoes, baked, flesh and skin, without salt	steamed whole russet potato
catsup	tomato ketchup
beans, white, mature seeds, cooked, boiled, without salt	none
snacks, potato chips, plain, salted	none
rice flour, white, unenriched	enriched long white rice (mahatma)
pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw	none
tomato products, canned, puree, without salt added	hunt's tomato paste
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8 fat, choice, cooked, grilled	none
beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, all grades, cooked, grilled	none
beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, grilled	none
pork, cured, ham, boneless, regular (approximately 11% fat), roasted	none
pork, cured, ham, boneless, extra lean and regular, roasted	none
pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted	none
pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted	none
pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted	none
lettuce, green leaf, raw	steamed green zuchini
cereals, oats, regular and quick, not fortified, dry	whole grain oat cereal
oranges, raw, all commercial varieties	deep red grapefruit
alcoholic beverage, wine, table, all	cabernet sauvignon wine
pasta, cooked, enriched, without added salt	whole wheat spaghetti
ham, sliced, pre-packaged, deli meat (96%fat free, water added)	none
pork sausage, link/patty, cooked, pan-fried	none
sausage, turkey, breakfast links, mild, raw	ground pork
pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted	none
pickles, cucumber, dill or kosher dill	pickles
beverages, tea, black, brewed, prepared with tap water, decaffeinated	black tea
soymilk, original and vanilla, with added calcium, vitamins a and d	soy milk
pineapple, canned, juice pack, drained	pulp free orange juice
corn, sweet, yellow, raw	frozen whole sweet green peas (flav r pac)
potatoes, boiled, cooked in skin, flesh, without salt	steamed whole russet potato
nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged	dried coconut strips
beans, baked, canned, plain or vegetarian	canned black beans (s&w)
wheat flour, white, bread, enriched	white bread
apples, raw, with skin	whole golden del apple w/o seed
broccoli, raw	frozen broccoli florets
fish, tuna, light, canned in water, drained solids	albacore white tuna
chicken, broiler, rotisserie, bbq, thigh, meat only	none
pork, fresh, loin, top loin (chops), boneless, separable lean only, raw	none
pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw	none
pork, fresh, variety meats and by-products, feet, cooked, simmered	none
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8 fat, all grades, cooked, roasted	none
corn, sweet, yellow, cooked, boiled, drained, without salt	none
onions, frozen, chopped, cooked, boiled, drained, without salt	onion
corn, sweet, white, cooked, boiled, drained, without salt	none
cheese, colby	none
sausage, italian, pork, cooked	ground pork
apples, dried, sulfured, uncooked	freeze dried apple rings
peanut butter, smooth style, with salt (includes foods for usda's food distribution program)	creamy peanut butter (skippy)
seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)	tahini spread (365 whole foods market)
bananas, raw	yellow banana flesh only
corn, sweet, yellow, canned, whole kernel, drained solids	canned black beans (s&w)
pork, fresh, spareribs, separable lean and fat, cooked, braised	none
orange juice, frozen concentrate, unsweetened, undiluted	pulp free orange juice
beef, ground, patties, frozen, cooked, broiled	ground pork
carrots, canned, regular pack, drained solids	steamed whole carrots
cream, fluid, heavy whipping	none
beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, all grades, cooked, roasted	none
beef, round, top round roast, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, roasted	none
onions, spring or scallions (includes tops and bulb), raw	onion
potatoes, flesh and skin, raw	steamed whole russet potato
pumpkin, raw	none
beef, chuck, arm pot roast, separable lean only, trimmed to 1/8 fat, choice, raw	none
cereals, corn grits, white, regular and quick, enriched, dry	none
beans, snap, green, canned, regular pack, drained solids	canned black beans (s&w)
alcoholic beverage, wine, table, red	cabernet sauvignon wine
rice, brown, long-grain, cooked	enriched long white rice (mahatma)
pork, fresh, loin, whole, separable lean only, cooked, roasted	none
alcoholic beverage, beer, regular, all	budweiser
pickles, cucumber, sour, low sodium	pickles
