"food_id","food_name","orig_food_id","orig_food_common_name_uncleaned","orig_food_common_name","citation","food_V2_ID"
11,"Cashew nut","12085","Nuts, cashew nuts, dry roasted, without salt added","nuts cashew nuts dry roasted without salt added","USDA",253
11,"Cashew nut","12086","Nuts, cashew nuts, oil roasted, without salt added","nuts cashew nuts oil roasted without salt added","USDA",254
11,"Cashew nut","12087","Nuts, cashew nuts, raw","nuts cashew nuts raw","USDA",255
11,"Cashew nut","12088","Nuts, cashew butter, plain, without salt added","nuts cashew butter plain without salt added","USDA",256
11,"Cashew nut","12585","Nuts, cashew nuts, dry roasted, with salt added","nuts cashew nuts dry roasted with salt added","USDA",257
11,"Cashew nut","12586","Nuts, cashew nuts, oil roasted, with salt added","nuts cashew nuts oil roasted with salt added","USDA",258
11,"Cashew nut","12588","Nuts, cashew butter, plain, with salt added","nuts cashew butter plain with salt added","USDA",259
12,"Pineapple","0833","Pineapple juice, canned","pineapple juice canned","DTU",260
12,"Pineapple","0004","Pineapple, canned","pineapple canned","DTU",261
12,"Pineapple","0003","Pineapple, raw","pineapple raw","DTU",262
12,"Pineapple","09266","Pineapple, raw, all varieties","pineapple raw all varieties","USDA",263
12,"Pineapple","09267","Pineapple, canned, water pack, solids and liquids","pineapple canned water pack solids liquids","USDA",264
12,"Pineapple","09268","Pineapple, canned, juice pack, solids and liquids","pineapple canned juice pack solids liquids","USDA",265
12,"Pineapple","09269","Pineapple, canned, light syrup pack, solids and liquids","pineapple canned light syrup pack solids liquids","USDA",266
12,"Pineapple","09270","Pineapple, canned, heavy syrup pack, solids and liquids","pineapple canned heavy syrup pack solids liquids","USDA",267
12,"Pineapple","09271","Pineapple, canned, extra heavy syrup pack, solids and liquids","pineapple canned extra heavy syrup pack solids liquids","USDA",268
12,"Pineapple","09272","Pineapple, frozen, chunks, sweetened","pineapple frozen chunks sweetened","USDA",269
12,"Pineapple","09273","Pineapple juice, canned, unsweetened, without added ascorbic acid","pineapple juice canned unsweetened without added ascorbic acid","USDA",270
12,"Pineapple","09274","Pineapple juice, frozen concentrate, unsweetened, undiluted","pineapple juice frozen concentrate unsweetened undiluted","USDA",271
12,"Pineapple","09275","Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water","pineapple juice frozen concentrate unsweetened diluted with 3 volume water","USDA",272
12,"Pineapple","09354","Pineapple, canned, juice pack, drained","pineapple canned juice pack drained","USDA",273
12,"Pineapple","09409","Pineapple juice, canned, unsweetened, with added ascorbic acid","pineapple juice canned unsweetened with added ascorbic acid","USDA",274
12,"Pineapple","09429","Pineapple, raw, traditional varieties","pineapple raw traditional varieties","USDA",275
12,"Pineapple","09430","Pineapple, raw, extra sweet variety","pineapple raw extra sweet variety","USDA",276
13,"Dill","0842","Dill weed, dried","dill weed dried","DTU",277
13,"Dill","0045","Dill, raw","dill raw","DTU",278
13,"Dill","02016","Spices, dill seed","spices dill seed","USDA",279
13,"Dill","02017","Spices, dill weed, dried","spices dill weed dried","USDA",280
13,"Dill","02045","Dill weed, fresh","dill weed fresh","USDA",281
14,"Custard apple","09086","Custard-apple, (bullock's-heart), raw","custard apple bullock's heart raw","USDA",282
15,"Wild celery","0015","Celery, raw","celery raw","DTU",283
15,"Wild celery","02007","Spices, celery seed","spices celery seed","USDA",284
15,"Wild celery","11141","Celeriac, raw","celeriac raw","USDA",285
15,"Wild celery","11142","Celeriac, cooked, boiled, drained, without salt","celeriac cooked boiled drained without salt","USDA",286
15,"Wild celery","11144","Celery, cooked, boiled, drained, without salt","celery cooked boiled drained without salt","USDA",287
15,"Wild celery","11763","Celeriac, cooked, boiled, drained, with salt","celeriac cooked boiled drained with salt","USDA",288
15,"Wild celery","11764","Celery, cooked, boiled, drained, with salt","celery cooked boiled drained with salt","USDA",289
15,"Wild celery","44055","Celery flakes, dried","celery flakes dried","USDA",290
16,"Peanut","0193","Nut, pea, dried","nut pea dried","DTU",291
16,"Peanut","0194","Nut, pea, oilroasted and salted","nut pea oilroasted salted","DTU",292
16,"Peanut","0195","Peanut butter","peanut butter","DTU",293
16,"Peanut","0859","Peanut oil","peanut oil","DTU",294
16,"Peanut","04042","Oil, peanut, salad or cooking","oil peanut salad cooking","USDA",295
16,"Peanut","16087","Peanuts, all types, raw","peanuts all types raw","USDA",296
16,"Peanut","16088","Peanuts, all types, cooked, boiled, with salt","peanuts all types cooked boiled with salt","USDA",297
16,"Peanut","16089","Peanuts, all types, oil-roasted, with salt","peanuts all types oil roasted with salt","USDA",298
16,"Peanut","16090","Peanuts, all types, dry-roasted, with salt","peanuts all types dry roasted with salt","USDA",299
16,"Peanut","16091","Peanuts, spanish, raw","peanuts spanish raw","USDA",300
16,"Peanut","16092","Peanuts, spanish, oil-roasted, with salt","peanuts spanish oil roasted with salt","USDA",301
16,"Peanut","16093","Peanuts, valencia, raw","peanuts valencia raw","USDA",302
16,"Peanut","16094","Peanuts, valencia, oil-roasted, with salt","peanuts valencia oil roasted with salt","USDA",303
16,"Peanut","16095","Peanuts, virginia, raw","peanuts virginia raw","USDA",304
16,"Peanut","16096","Peanuts, virginia, oil-roasted, with salt","peanuts virginia oil roasted with salt","USDA",305
16,"Peanut","16097","Peanut butter, chunk style, with salt","peanut butter chunk style with salt","USDA",306
16,"Peanut","16098","Peanut butter, smooth style, with salt","peanut butter smooth style with salt","USDA",307
16,"Peanut","16099","Peanut flour, defatted","peanut flour defatted","USDA",308
16,"Peanut","16100","Peanut flour, low fat","peanut flour low fat","USDA",309
16,"Peanut","16149","Peanut spread, reduced sugar","peanut spread reduced sugar","USDA",310
16,"Peanut","16150","Peanut butter, smooth, reduced fat","peanut butter smooth reduced fat","USDA",311
16,"Peanut","16155","Peanut butter, smooth, vitamin and mineral fortified","peanut butter smooth vitamin mineral fortified","USDA",312
16,"Peanut","16156","Peanut butter, chunky, vitamin and mineral fortified","peanut butter chunky vitamin mineral fortified","USDA",313
16,"Peanut","16167","USDA Commodity, Peanut Butter, smooth","usda commodity peanut butter smooth","USDA",314
16,"Peanut","16389","Peanuts, all types, oil-roasted, without salt","peanuts all types oil roasted without salt","USDA",315
16,"Peanut","16390","Peanuts, all types, dry-roasted, without salt","peanuts all types dry roasted without salt","USDA",316
16,"Peanut","16392","Peanuts, spanish, oil-roasted, without salt","peanuts spanish oil roasted without salt","USDA",317
16,"Peanut","16394","Peanuts, valencia, oil-roasted, without salt","peanuts valencia oil roasted without salt","USDA",318
16,"Peanut","16396","Peanuts, virginia, oil-roasted, without salt","peanuts virginia oil roasted without salt","USDA",319
16,"Peanut","16397","Peanut butter, chunk style, without salt","peanut butter chunk style without salt","USDA",320
16,"Peanut","16398","Peanut butter, smooth style, without salt","peanut butter smooth style without salt","USDA",321
16,"Peanut","16399","Peanut butter with omega-3, creamy","peanut butter with omega 3 creamy","USDA",322
16,"Peanut","21337","McDONALD'S, Peanuts (for Sundaes)","mcdonald's peanuts for sundaes","USDA",323
16,"Peanut","42291","Peanut butter, reduced sodium","peanut butter reduced sodium","USDA",324
17,"Burdock","11104","Burdock root, raw","burdock root raw","USDA",325
17,"Burdock","11105","Burdock root, cooked, boiled, drained, without salt","burdock root cooked boiled drained without salt","USDA",326
17,"Burdock","11747","Burdock root, cooked, boiled, drained, with salt","burdock root cooked boiled drained with salt","USDA",327
18,"Horseradish","0208","Horse-radish, raw","horse radish raw","DTU",328
18,"Horseradish","02055","Horseradish, prepared","horseradish prepared","USDA",329
19,"Tarragon","02041","Spices, tarragon, dried","spices tarragon dried","USDA",330
21,"Asparagus","0008","Asparagus, all types, raw","asparagus all types raw","DTU",331
21,"Asparagus","0009","Asparagus, canned","asparagus canned","DTU",332
21,"Asparagus","0815","Asparagus, green, raw","asparagus green raw","DTU",333
21,"Asparagus","0816","Asparagus, white, raw","asparagus white raw","DTU",334
21,"Asparagus","11011","Asparagus, raw","asparagus raw","USDA",335
21,"Asparagus","11012","Asparagus, cooked, boiled, drained","asparagus cooked boiled drained","USDA",336
21,"Asparagus","11013","Asparagus, canned, regular pack, solids and liquids","asparagus canned regular pack solids liquids","USDA",337
21,"Asparagus","11015","Asparagus, canned, drained solids","asparagus canned drained solids","USDA",338
21,"Asparagus","11018","Asparagus, frozen, unprepared","asparagus frozen unprepared","USDA",339
21,"Asparagus","11019","Asparagus, frozen, cooked, boiled, drained, without salt","asparagus frozen cooked boiled drained without salt","USDA",340
21,"Asparagus","11705","Asparagus, cooked, boiled, drained, with salt","asparagus cooked boiled drained with salt","USDA",341
21,"Asparagus","11707","Asparagus, canned, no salt added, solids and liquids","asparagus canned no salt added solids liquids","USDA",342
21,"Asparagus","11709","Asparagus, frozen, cooked, boiled, drained, with salt","asparagus frozen cooked boiled drained with salt","USDA",343
22,"Oat","1271","Oat Bran, danish","oat bran danish","DTU",344
22,"Oat","0530","Oats, rolled, average values","oats rolled average values","DTU",345
22,"Oat","0071","Oats, rolled, enriched","oats rolled enriched","DTU",346
22,"Oat","1299","Oats, rolled, not enriched","oats rolled not enriched","DTU",347
22,"Oat","04588","Oil, oat","oil oat","USDA",348
22,"Oat","20033","Oat bran, raw","oat bran raw","USDA",349
22,"Oat","20034","Oat bran, cooked","oat bran cooked","USDA",350
22,"Oat","20132","Oat flour, partially debranned","oat flour partially debranned","USDA",351
23,"Star fruit","0630","Carambola, raw","carambola raw","DTU",352
23,"Star fruit","09060","Carambola, (starfruit), raw","carambola starfruit raw","USDA",353
24,"Brazil nut","0197","Brazil nuts","brazil nuts","DTU",354
24,"Brazil nut","12078","Nuts, brazilnuts, dried, unblanched","nuts brazilnuts dried unblanched","USDA",355
25,"Common beet","11080","Beets, raw","beets raw","USDA",356
25,"Common beet","11081","Beets, cooked, boiled, drained","beets cooked boiled drained","USDA",357
25,"Common beet","11082","Beets, canned, regular pack, solids and liquids","beets canned regular pack solids liquids","USDA",358
25,"Common beet","11084","Beets, canned, drained solids","beets canned drained solids","USDA",359
25,"Common beet","11086","Beet greens, raw","beet greens raw","USDA",360
25,"Common beet","11087","Beet greens, cooked, boiled, drained, without salt","beet greens cooked boiled drained without salt","USDA",361
25,"Common beet","11605","Beets, harvard, canned, solids and liquids","beets harvard canned solids liquids","USDA",362
25,"Common beet","11609","Beets, pickled, canned, solids and liquids","beets pickled canned solids liquids","USDA",363
25,"Common beet","11734","Beets, cooked, boiled. drained, with salt","beets cooked boiled. drained with salt","USDA",364
25,"Common beet","11735","Beets, canned, no salt added, solids and liquids","beets canned no salt added solids liquids","USDA",365
25,"Common beet","11736","Beet greens, cooked, boiled, drained, with salt","beet greens cooked boiled drained with salt","USDA",366
26,"Borage","11613","Borage, raw","borage raw","USDA",367
26,"Borage","11614","Borage, cooked, boiled, drained, without salt","borage cooked boiled drained without salt","USDA",368
26,"Borage","11737","Borage, cooked, boiled, drained, with salt","borage cooked boiled drained with salt","USDA",369
27,"Chinese mustard","11270","Mustard greens, raw","mustard greens raw","USDA",370
27,"Chinese mustard","11271","Mustard greens, cooked, boiled, drained, without salt","mustard greens cooked boiled drained without salt","USDA",371
27,"Chinese mustard","11272","Mustard greens, frozen, unprepared","mustard greens frozen unprepared","USDA",372
27,"Chinese mustard","11273","Mustard greens, frozen, cooked, boiled, drained, without salt","mustard greens frozen cooked boiled drained without salt","USDA",373
27,"Chinese mustard","11799","Mustard greens, cooked, boiled, drained, with salt","mustard greens cooked boiled drained with salt","USDA",374
27,"Chinese mustard","11800","Mustard greens, frozen, cooked, boiled, drained, with salt","mustard greens frozen cooked boiled drained with salt","USDA",375
27,"Chinese mustard","43144","Cabbage, mustard, salted","cabbage mustard salted","USDA",376
28,"Swede","0134","Swede, raw","swede raw","DTU",377
28,"Swede","11435","Rutabagas, raw","rutabagas raw","USDA",378
